model,accuracy,model_path,recall_High,recall_Low,recall_Medium
RandomForest,0.9662345975356057,trained_models\randomforest.pkl,1.0,0.9236677868458953,0.9750360057609218
KNN,0.8489358297327573,trained_models\knn.pkl,1.0,0.6168987037926068,0.9299087854056649
NeuralNet,0.836933909425508,trained_models\neuralnet.pkl,1.0,0.7105136821891502,0.800288046087374
NaiveBayes,0.7612417986877901,trained_models\naivebayes.pkl,0.9740758521363418,0.6389822371579452,0.670667306769083
DecisionTree,0.7397983677388382,trained_models\decisiontree.pkl,1.0,0.46087373979836777,0.7585213634181469
LogisticRegression,0.4000640102416387,trained_models\logisticregression.pkl,0.47959673547767645,0.38214114258281323,0.3384541526644263
